Circolo;name;par;neroCR;neroSlope;biancoCR;biancoSlope;gialloCR;gialloSlope;verdeCR;verdeSlope;bluCR;bluSlope;rossoCR;rossoSlope;arancioCR;arancioSlope
BARIALTO;18 Buche;70;;;;;70,1;125;66;116;;;70,3;120;66,2;111
BARIALTO;Prime Nove;36;;;;;35,2;128;33,1;123;;;35,3;120;33,3;116
BARIALTO;Seconde Nove;34;;;;;34,9;122;33;117;;;35;120;32,9;116
BARLASSINA;Campionato;72;;;72,9;135;71,6;132;68,8;126;74,3;126;74,1;126;73,3;124
BARLASSINA;Prime Nove;36;;;35,9;133;35,3;130;34,2;125;37;121;36,6;119;36,2;118
BARLASSINA;Seconde Nove;36;;;37;138;36,3;135;;;37,3;132;37,5;131;;
BELLOSGUARDO;monnalisa 70;70;;;;;72,4;128;68,8;120;;;72,6;124;69,4;118
BELLOSGUARDO;Monnalisa New;71;;;74,6;133;72,8;129;69,2;121;76,6;133;72,9;125;69,6;118
BELLOSGUARDO;Monnalisa New Prime Nove;36;;;;;36,3;129;34,6;121;;;36,5;125;34,8;118
BELLOSGUARDO;Monnalisa par 35;35;;;;;35,9;128;34,2;120;;;36,2;124;34,6;118
BERGAMO ALBENZA;Blu;36;;;;;35,8;137;34,7;132;;;36,9;127;36;125
BERGAMO ALBENZA;Blu-Giallo;72;;;73,1;137;71,8;136;69,5;131;75,5;133;74,7;131;72,1;125
BERGAMO ALBENZA;Giallo;36;;;;;36;135;34,8;129;;;37,8;135;36,1;125
BERGAMO ALBENZA;Rosso;36;;;;;35,8;136;34,7;131;;;36,1;132;35,9;131
BERGAMO ALBENZA;Rosso-Blu;72;;;72,6;137;70,9;134;69,4;132;74,4;134;73,4;131;71,9;128
BERGAMO ALBENZA;Rosso-Giallo;72;;;72,5;135;71,1;133;69,5;130;74,6;135;73,9;132;72;128
BIELLA BETULLE;18 buche 2018;73;;;75;145;72,9;142;69,6;134;76,5;138;74,7;131;70,5;122
BIELLA BETULLE;Le Betulle;73;;;74,8;144;72,8;140;69,3;132;76,3;136;74,4;130;70;121
BIELLA BETULLE;prime 9;36;;;37,4;146;36,4;138;33,4;124;37,7;133;37;128;33,6;114
BOGLIACO;18 Buche;70;;;;;70,3;141;68,1;136;;;72;134;69,4;129
BOGLIACO;Prime Nove;35;;;;;34,7;141;33,7;136;;;35,8;130;35;127
BOGLIACO;Seconde Nove;35;;;;;35,6;140;34,4;134;;;36,2;138;35,3;134
BOGOGNO;1° Nove - Conte;36;;;;;35,9;130;34,5;127;;;35,7;126;34,2;123
BOGOGNO;2° Nove - Conte;36;;;;;35,1;125;33,9;122;;;35,9;120;34,4;117
BOGOGNO;Bonora;72;;;74,4;140;72,5;136;69,4;129;74,9;136;71,7;130;68,8;124
BOGOGNO;del Conte;72;;;73,2;131;71;128;68,4;122;74,1;129;71,6;123;68,6;117
BOGOGNO;Prime Nove - Bonora;36;;;;;35,9;132;34,4;125;;;35,8;130;34,3;124
BOGOGNO;Seconde Nove - Bonora;36;;;;;36,6;140;35;133;;;36;130;;
BOLOGNA;18 Buche;72;;;72;124;71,7;127;68,8;120;74,3;128;73,7;125;70,8;119
BOLOGNA;PAR 71 CAMPIONATO;71;;;72;124;71,3;125;68,4;119;74,3;128;73,3;124;70,4;118
BOLOGNA;par 71.;71;;;71,6;125;70,9;126;68;120;73,8;128;72,8;124;69,9;118
BOLOGNA;Prime Nove;36;;;36;133;35,7;135;34,4;132;37,2;135;36,7;129;35,2;126
BOLOGNA;Seconde Nove;36;;;36,3;119;36,1;118;34,6;114;37,5;121;37,1;120;35,7;117
BOLOGNA;seconde nove par 35;35;;;35,6;117;35,2;117;33,6;108;36,6;121;36,1;119;34,7;110
BORGO CAMUZZAGO;Nove Buche par 27;27;;;;;28,9;97;28,9;97;;;30,7;96;;
BORGO CAMUZZAGO;18 buche;64;;;;;63,4;112;62,1;109;;;65;105;;
BORGO CAMUZZAGO;18 Buche par54;54;;;;;57,8;97;57,8;97;;;61,4;96;;
BORGO CAMUZZAGO;9 buche;32;;;;;31,7;112;31,1;109;;;32,5;105;;
BORMIO;18 Buche;66;;;;;62,4;111;60,3;106;;;63;121;63;121
BORMIO;Nove Buche;33;;;;;31,2;111;30,1;106;;;31,5;121;;
BOTANIC SA CUBA;18 buche;70;;;;;66,2;118;64,7;114;;;68,6;122;68,6;122
BOTANIC SA CUBA;9 buche;35;;;;;33,1;118;32,4;114;;;34,3;122;;
BOVES;18 Buche;72;;;72,2;129;69,2;125;65,6;117;73,4;127;70,2;119;67,6;114
BOVES;Prime Nove;36;;;36;120;34,8;116;32,9;112;36,6;125;35;116;33,6;113
BOVES;Seconde Nove;36;;;36,2;137;34,5;134;32,8;130;36,8;129;35,3;121;34,1;118
BRIANZA;Brianza;72;;;;;71,4;135;69;129;;;73,1;134;70,6;129
BRIANZA;Prime Nove;35;;;;;34,6;135;33,5;129;;;35,5;133;34,3;129
BRIANZA;Seconde Nove;37;;;;;36,7;135;35,4;129;;;37,5;134;36,2;129
BUENA VISTA;18 BUCHE;60;;;;;60;101;59,6;100;;;60,6;102;;
BUENA VISTA;9 buche;30;;;;;30;101;29,8;100;;;30,3;102;;
CA' AMATA;18 Buche;71;72,3;136;72,2;136;70,6;132;68,2;126;73,5;136;72,3;133;69,8;128
CA' AMATA;Prime Nove;36;;;36,2;139;35,4;135;34,2;129;36,9;139;36,3;134;35;129
CA' AMATA;Seconde Nove;35;36,1;133;36;133;35,2;129;34;123;36,6;133;36;131;34,8;126
CA' LAURA;9 Buche;28;;;;;29,3;101;;;;;29,5;93;;
CA' LAURA;old course;56;;;;;58,6;101;58,1;100;;;59;93;;
CA' NAVE;18 Buche;72;;;73,5;130;72;128;69;121;74,4;135;73,5;132;70,6;126
CA' NAVE;Prime Nove;36;;;;;36,3;129;34,8;122;;;37,3;134;35,8;128
CA' NAVE;Seconde Nove;36;;;;;35,7;127;34,2;120;;;36,2;130;34,7;124
CA' ULIVI;18 Buche;72;;;71,3;124;70;122;69,1;120;73,2;122;71,9;119;;
CA' ULIVI;Mirabello;62;;;;;62,2;112;60,3;108;;;63,4;108;63,4;108
CA' ULIVI;Mirabello 9 B.;31;;;;;31,1;112;30,1;108;;;31,7;108;;
CAGLIARI;18 BUCHE 2017;72;;;;;70,6;126;68,4;124;;;72,4;134;69,9;129
CAGLIARI;9 BUCHE 2017;36;;;;;35,3;126;34,2;124;;;36,2;134;34,9;131
CAMPODOGLIO;18 buche 2019;72;;;71,6;123;70;121;65,8;111;73;126;71;120;67,6;113
CAMPODOGLIO;18 buche par 70;70;;;71,4;123;69,6;121;65,5;112;72,8;125;70,4;120;;
CAMPODOGLIO;18 buche par 71;71;;;71,5;123;69,8;121;;;72,9;126;70,7;120;;
CAMPODOGLIO;par 35 2019;35;;;35,7;123;34,8;121;32,8;116;36,4;125;35,2;120;;
CAMPODOGLIO;par 36 2019;36;;;35,8;123;35;121;33;116;36,5;126;35,5;120;33,8;116
CANSIGLIO;18 Buche;71;;;71,5;133;70;129;66,4;121;73,5;125;70,9;119;67;111
