Circolo;name;par;neroCR;neroSlope;biancoCR;biancoSlope;gialloCR;gialloSlope;verdeCR;verdeSlope;bluCR;bluSlope;rossoCR;rossoSlope;arancioCR;arancioSlope
DES ILES BORROMEES;Seconde Nove;36;;;36,1;138;35;135;33,4;131;37;130;35,9;128;34,5;125
DOLOMITI;18 Buche;73;;;72,7;130;71,6;127;68,9;121;75,8;138;73,4;132;70,7;126
DOLOMITI;2 volte le seconde nove;72;;;;;70,6;122;67,2;114;;;72,6;126;69,8;118
DOLOMITI;Prime Nove;37;;;;;36,2;135;34,7;132;;;37;138;35,5;135
DOLOMITI;Seconde Nove;36;;;;;35,3;122;33,6;114;;;36,3;126;34,9;118
DRUENTO;18 Buche;72;;;;;69,7;124;66,2;116;;;71;120;68,4;115
DRUENTO;9 Buche;36;;;;;34,9;124;33,1;116;;;35,5;120;34,2;115
DUCATO - LA ROCCA;18 Buche;72;;;73,4;134;72,5;133;67,9;122;75,7;129;73,6;126;69,8;118
DUCATO - LA ROCCA;Prime Nove;37;;;37,5;139;37,2;138;35;128;38,8;133;37,9;131;35,9;122
DUCATO - LA ROCCA;Seconde Nove;35;;;35,9;128;35,3;127;33,8;124;36,9;125;35,7;125;34,3;122
FAENZA CICOGNE;18 Buche;70;;;;;68,6;119;67,4;116;;;71,2;117;70;114
FAENZA CICOGNE;9 buche;35;;;;;34,3;119;33,7;116;;;35,6;117;35;114
FIORANELLO;18 Buche;70;;;;;69,9;129;67,9;124;;;73,1;130;70,7;125
FIORANELLO;Prime Nove;34;;;;;34,3;126;33,3;121;;;35,8;126;34,7;121
FIORANELLO;Seconde Nove;36;;;;;35,6;132;34,6;127;;;37,3;134;36;129
FIRENZE UGOLINO;18 Buche;72;;;;;70,9;133;67,5;125;;;72,4;126;69,2;119
FIRENZE UGOLINO;Prime Nove;36;;;;;35,2;133;33,8;130;;;36,2;132;34,7;129
FIRENZE UGOLINO;provv 2017;70;;;;;69;127;65,7;119;;;70,3;120;67,3;114
FIRENZE UGOLINO;Provvisorio buca 9 Par 3;70;;;;;69,4;129;66,1;121;;;70,7;122;67,9;116
FIRENZE UGOLINO;Seconde Nove;36;;;;;35,7;135;33,7;130;;;36,2;120;34,6;117
FIUGGI 1928;18 Buche;70;;;70,3;123;;;67,4;116;;;72,5;128;69,8;122
FIUGGI 1928;Prime Nove;35;;;35,3;130;;;33,8;124;;;36,4;135;35;128
FIUGGI 1928;Seconde Nove;35;;;35;117;;;33,6;110;;;36,1;121;34,8;115
FOLGARIA;18 Buche;72;;;;;70;124;66,7;116;;;72,6;124;69,2;117
FOLGARIA;9 buche nuove;36;;;;;34,6;123;33,1;114;;;35,6;121;33,8;112
FOLGARIA;Vecchie Nove;36;;;;;35,4;126;34,3;123;;;36,2;128;34,9;125
FONTI;18 Buche;72;;;73,4;130;71,8;126;69,1;120;76,7;130;73,4;124;70,7;118
FONTI;Due volte le prime nove;72;;;;;71,6;128;69,4;121;;;73;125;70,4;120
FONTI;Due volte le seconde nove;72;;;;;71,8;126;69,6;121;;;73,8;122;71,4;118
FONTI;Prime Nove;36;;;36,6;131;35,8;128;34,7;121;38,2;133;36,5;125;35,2;120
FONTI;Seconde Nove;36;;;36,9;129;35,9;126;34,8;121;38,4;127;36,9;122;35,7;118
FORLI';18 Buche;72;;;72,5;130;71;128;69,6;125;73,6;122;71,9;120;70,2;116
FORLI';Misto B/G;72;;;;;71,7;129;;;;;72,8;121;;
FORLI';Prime Nove;36;;;36,2;130;35,5;128;;;36,8;122;36;120;;
FORLI';Seconde Nove;36;;;36,2;130;35,5;128;;;36,8;122;36;120;;
FORTE MARMI;18 Buche;71;;;;;71,7;123;68,3;115;;;73,3;125;;
FRANCIACORTA;B+S -12+7B;72;;;;;70,9;128;67,7;120;;;72,7;127;69,4;120
FRANCIACORTA;B+S -3 +7B;72;;;;;71;129;67,8;121;;;72,8;129;69,6;122
FRANCIACORTA;B+S -5 +7B;70;;;;;71,6;132;68,2;124;;;73,5;132;70,1;125
FRANCIACORTA;BRUT;37;;;;;36,1;128;34,5;124;;;37,3;131;35,5;127
FRANCIACORTA;BRUT+ROSE';71;;;71,5;135;70,2;131;67,1;124;72,6;132;71,7;127;68,4;120
FRANCIACORTA;BRUT+SATEN;73;;;72,6;134;72,1;132;68,7;124;74,5;133;73,8;131;70,4;124
FRANCIACORTA;ROSE';34;;;;;34,1;133;32,6;130;;;34,4;123;32,8;120
FRANCIACORTA;SATEN;36;;;;;36;135;34,4;131;;;36,5;130;34,9;127
FRANCIACORTA;SATEN+ROSE';70;;;71,5;138;70,1;134;67;127;71,9;131;70,9;127;67,7;120
FRASSANELLE;18 Buche;72;;;72,9;135;71,5;131;69;125;74,5;135;73;129;70,4;124
FRASSANELLE;Prime Nove;36;;;36,2;136;35,6;133;34,3;127;37;132;36,4;125;35,1;120
FRASSANELLE;Seconde Nove;36;;;36,6;133;35,9;129;34,7;123;37,5;138;36,5;134;35,2;129
FRONDE;18 Buche;71;;;71,7;135;70,7;132;68,3;126;74,2;132;73,1;130;70,2;124
FRONDE;Prime Nove;35;;;;;35,5;131;34,3;128;;;36,7;128;35,5;125
FRONDE;Seconde Nove;36;;;;;35,2;133;34,6;124;;;36,4;132;35,9;129
GARDAGOLF;Bianco-Giallo;71;;;;;70,9;135;68,1;129;;;72,5;128;69,6;122
GARDAGOLF;Prime Nove;36;;;;;36,5;139;34,7;131;;;37,3;131;;
GARDAGOLF;Rosso-Bianco;72;;;75;139;72,5;141;70,6;136;77,3;140;74,3;133;71,1;126
GARDAGOLF;Rosso-Giallo;71;;;;;70,3;137;67,8;131;;;72,3;130;69,6;124
GARDAGOLF;Seconde Nove;35;;;;;34,4;130;32,6;122;;;35,2;125;;
GARLENDA;18 Buche;72;;;72,5;134;72;133;69,5;127;;;73,6;130;69,5;122
GARLENDA;Prime Nove;36;;;35,9;137;35,8;136;34,5;130;;;36,8;126;34,8;118
GARLENDA;Seconde Nove;36;;;36,6;138;36,3;136;35;130;;;36,9;132;34,8;124
GIRASOLI;Perc NEW 1°Nove;36;;;;;36,1;133;34,9;130;;;36,7;136;35,3;133
GIRASOLI;Perc NEW 2°Nove;35;;;;;34,4;124;33,2;121;;;34,9;136;33,7;133
GIRASOLI;Perc OLD 1°Nove;35;;;;;34,5;124;;;;;35,1;124;;
GIRASOLI;Perc OLD 2°Nove;36;;;;;36,3;129;;;;;37;135;;
GIRASOLI;Percorso NEW;71;;;70,8;130;70,5;129;68,1;123;;;71,6;130;69;125
GIRASOLI;Percorso OLD;71;;;71;128;70,8;127;;;;;72,1;130;;
GRADO;18 Buche;72;;;71,9;128;70,9;128;67;119;73,2;123;71,9;122;;
GRADO;9 Buche misto;36;;;;;35,3;126;33,5;117;;;35,7;123;;
GREEN CLUB;18 Buche;71;;;;;70,9;128;68,6;123;;;72,7;129;70,2;124
GREEN CLUB;Prime Nove;35;;;;;34,9;129;33,8;126;;;35,9;125;34,6;122
GREEN CLUB;Seconde Nove;36;;;;;35,9;128;34,7;125;;;36,9;133;35,6;130
GRESSONEY;18 Buche;68;;;;;65,5;112;63,5;108;;;66,5;120;66,5;120
GRESSONEY;18 buche 1-9 1-9;64;;;;;62,8;107;61;103;;;62,6;109;62,6;109
GRESSONEY;18 BUCHE 2018;68;;;;;64,6;117;62,4;112;;;66;123;66;123
GRESSONEY;18 BUCHE 2018 PROVV;70;;;;;65,4;116;63,2;110;;;67,2;126;;
GRESSONEY;9 b provv 2017;33;;;;;31,6;108;30,7;104;;;31,8;113;;
GRESSONEY;9 buche;34;;;;;32,8;112;31,8;107;;;33,3;120;;
GRESSONEY;9 buche 1-9;32;;;;;31,4;107;30,5;103;;;31,3;109;;
GRESSONEY;9 BUCHE 2018;34;;;;;32,3;117;31,2;114;;;33;123;;
GRESSONEY;9 BUCHE 2018 PROVV;35;;;;;32,7;116;31,6;110;;;33,6;126;;
GRESSONEY;provv 2017;66;;;;;63,2;108;61,4;104;;;63,6;113;;
HERMITAGE;18 buche;56;;;;;52,8;110;;;;;53;116;;
HERMITAGE;9 buche;28;;;;;26,4;110;;;;;26,5;116;;
IS ARENAS;18 Buche;72;;;74;140;72,6;137;70,2;131;76,2;140;73;132;70,6;127
IS ARENAS;4-12 RIPETUTE;72;;;;;71,6;129;69,1;123;;;72;119;70;115
IS ARENAS;9 buche 4-12;36;;;;;35,8;129;34,6;123;;;36;119;35;115
IS ARENAS;MISTO 1-2-3-13....18;36;;;;;36,4;143;35,2;140;;;36,5;127;35,1;124
IS ARENAS;Misto 1-2-3-13-14-15-16-17-18;72;;;;;72,8;143;70,5;138;;;73;127;70,1;121
IS ARENAS;Prime Nove;36;;;;;35,6;137;34,5;131;;;35,7;129;34,6;124
IS ARENAS;Seconde Nove;36;;;;;37;137;35,7;131;;;37,3;135;36;130
IS MOLAS;18 Buche;72;;;74,5;134;73,5;131;69,5;122;76,7;133;75,6;130;71,3;121
IS MOLAS;Prime Nove;35;;;;;36,7;130;34,7;121;;;37,6;126;35,5;117
IS MOLAS;Prime-Terze;71;;;;;73;136;69,4;128;;;75,6;134;71,8;134
IS MOLAS;Seconde Nove;37;;;;;36,8;132;34,8;123;;;38;134;35,9;125
IS MOLAS;Seconde-Terze;73;;;;;73,1;137;69,6;129;;;76;138;72,2;129
IS MOLAS;Terze Nove;36;;;;;36,3;141;34,8;134;;;38;141;36,4;134
IS MOLAS;Terze-Terze;72;;;;;72,6;141;69,5;134;;;76;141;72,8;134
JESOLO;18 Buche;72;;;72,4;122;70,7;119;66,9;112;73,7;121;72;117;70,3;112
JESOLO;Prime Nove;36;;;36,5;122;35,6;120;33,6;113;37;121;36,2;117;35,3;112
JESOLO;Seconde Nove;36;;;35,8;121;35,1;119;33,3;111;36,7;122;35,7;117;35;112
LAGHI;18 Buche;73;;;74,9;143;73,4;139;71,1;134;76,7;146;75;142;72,7;137
LAGHI;Prime Nove;36;;;37,2;144;36,4;141;35,1;134;38,4;141;37,6;137;36,3;131
LAGHI;Seconde Nove;37;;;37,7;139;37;136;36;132;38,3;150;37,4;146;36,5;142
LAMBORGHINI;18 Buche;72;;;;;70;123;67;116;;;71,9;123;69;117
LAMBORGHINI;Prime Nove;36;;;;;35;123;33,5;120;;;36;123;34,6;120
LAMBORGHINI;Seconde Nove;36;;;;;35;123;;;;;36;123;;
LANA;18 Buche;70;;;70,6;123;69;120;66,3;114;72;124;70,2;120;67,3;114
LANA;9 Buche;35;;;35,3;123;34,5;120;33,2;114;36;124;35,1;120;33,7;114
LANA;Misto Lana+Eppan;70;;;70,9;120;;;;;69,8;120;;;;
LANZO;18 Buche;68;;;;;68,8;132;65,8;125;;;70,1;123;;
LANZO;Prime Nove;34;;;;;34,5;133;33;126;;;35,2;125;;
LANZO;Seconde Nove;34;;;;;34,3;131;;;;;34,9;121;;
LAURI;18 buche par 68;68;;;;;64,8;122;63;118;;;66,6;114;66,6;114
LAURI;9 buche par 34;34;;;;;32,4;122;31,5;118;;;33,3;114;;
LECCO;18 Buche;71;;;;;70,8;135;68,7;130;;;72,7;134;71,7;132
LECCO;Prime Nove;34;;;;;33,3;124;32,3;119;;;34,2;120;33,7;118
LECCO;Prime Nove 2 volte;68;;;;;66,6;124;64,5;119;;;68,4;120;67,4;118
LECCO;Seconde Nove;37;;;;;37,5;146;36,5;141;;;38,5;148;38;146
LECCO;Seconde Nove 2 volte;74;;;;;75;146;73;141;;;77;148;76;146
LIGNANO;18 Buche;72;;;73,6;136;72,1;133;68,6;125;76,3;138;73;131;69,5;124
LIGNANO;Prime Nove;36;;;36,9;135;36,1;133;34,2;129;38,9;139;36,7;131;35;127
LIGNANO;Seconde Nove;36;;;36,7;137;36;133;34,2;129;37,5;136;36,3;132;34,5;128
LIMONE;18 Buche;60;;;;;62,6;103;;;;;62,5;101;;
LIMONE;Prime Nove;30;;;;;31,3;104;;;;;31,3;101;;
LIMONE;Seconde Nove;30;;;;;31,3;104;;;;;31,3;101;;
LIVORNO;18 Buche;56;;;;;58,8;100;;;;;60;98;60;98
LIVORNO;9 Buche;28;;;;;29,4;100;;;;;30;98;;
MADONNA CAMPIGLIO;Nove Buche;35;;;;;34,7;128;33,5;122;;;36,3;138;35;130
MADONNA CAMPIGLIO;Nuovo;70;;;;;69,4;130;66,9;124;;;72,9;136;69,7;129
MARCO SIMONE;2019;68;;;67,3;120;66,6;118;62,4;108;68,9;118;68,1;116;64;107
MARCO SIMONE;prime nove 2019;36;;;36,5;141;35,8;138;33,8;133;37,2;134;36,4;131;34,4;127
MARCO SIMONE;prime nove 2019 2 volte;72;;;73;141;71,6;138;67,6;133;74,4;134;72,8;131;68,8;127
MARCO SIMONE;Resort 18 Buche;64;;;;;61,6;97;58,2;89;;;63,4;100;60,4;94
MARCO SIMONE;Resort 9 Buche;32;;;;;30,8;97;29,1;89;;;31,7;100;30,2;94
MARE ROMA;18 Buche;70;;;;;69,5;126;67,2;121;;;70,7;127;68;121
MARE ROMA;Prime Nove;35;;;;;34,8;126;33,6;121;;;35,2;127;34;121
MARE ROMA;Seconde Nove;35;;;;;34,8;126;;;;;35,4;127;;
MARGARA;La Guazzetta;72;;;75,1;129;72,9;124;68,8;115;76,2;132;74,2;125;70,8;118
MARGARA;Lolli Ghetti;72;;;73,9;133;72,5;130;69,4;123;75,7;131;74,6;128;71;120
MARGARA;Prime Nove;36;;;;;36,6;134;35;127;;;37,8;130;;
MARGARA;Prime Nove Giallo;36;;;;;36,7;128;;;;;37,8;130;;
MARGARA;Seconde Nove;36;;;;;35,8;126;34,3;119;;;36,8;127;;
MARGHERITA;18 Buche;72;;;73,8;138;72,4;136;69,7;130;77;139;75,4;134;72,2;127
MARGHERITA;Prime Nove;36;;;;;36;139;34,9;134;;;37,8;133;36,1;126
MARGHERITA;Seconde Nove;36;;;;;36,4;132;34,8;125;;;37,6;134;36,1;128
MATILDE GOLF;18 Buche;72;;;72,6;136;71,4;133;67,6;124;74,3;128;73;126;69,1;118
MATILDE GOLF;Prime Nove;36;;;35,8;131;35,2;129;33,5;121;36,8;124;36,1;122;;
MATILDE GOLF;Provvisorio;72;;;;;71,3;132;;;;;73,2;125;;
MATILDE GOLF;Seconde Nove;36;;;36,8;140;36,2;137;34,1;127;37,5;133;36,9;130;;
MENAGGIO;18 Buche;70;;;69,3;133;69,3;133;67;128;71,3;126;71,3;126;69;121
MENAGGIO;Prime Nove;34;;;;;35,2;127;34;122;;;35,9;126;34,8;121
MENAGGIO;Seconde Nove;36;;;;;34,1;139;33,5;134;;;35,4;126;34,3;121
METAPONTO;18 buche;72;;;73,2;130;72,1;128;68,7;120;77,9;134;73,7;125;70;117
METAPONTO;Prime Nove;36;;;;;36,2;129;34,6;121;;;37,1;127;35,3;119
METAPONTO;Seconde Nove;36;;;;;35,8;127;34,1;117;;;36,6;122;34,7;114
MIGLIANICO;18 Buche;72;;;71,6;129;70,4;126;67,4;119;74,4;125;73,9;125;70,5;117
MIGLIANICO;Campionati a squadre 2015;71;;;71,3;128;;;;;;;;;;
MIGLIANICO;Prime Nove;36;;;;;34,8;126;33,3;119;;;36,6;125;35;117
MIGLIANICO;Seconde Nove;36;;;;;35,6;126;34;119;;;37,1;123;35,5;117
MILANO;01-Feb;72;;;75;132;73,4;129;69,8;121;76,6;132;75,3;129;72;122
MILANO;01-Mar;72;;;;;72;126;68,7;118;;;73,9;124;70,6;117
MILANO;02-Mar;72;;;;;72;126;68,5;118;;;74;126;70,5;119
MILANO;Nove Perc.1;36;;;;;36,8;129;35;120;;;37,7;126;36;119
MILANO;Nove Perc.2;36;;;;;36,6;128;34,8;119;;;37,6;131;35,9;124
MILANO;Nove Perc.3;36;;;;;35,4;126;33,8;122;;;36,5;121;34,8;117
MILANO;Percorso 1/2 Provvisorio;72;;;;;73;128;;;;;74,9;128;;
MIRABELLA;18 Buche;62;;;;;64,5;121;62,2;116;;;67,2;114;67,2;114
MIRABELLA;Prime Nove;31;;;;;32,3;121;32,3;121;;;33,6;114;;
MIRABELLA;Seconde Nove;31;;;;;32,2;121;;;;;33,6;114;;
MODENA;18 Buche;72;;;73,6;131;72,2;128;70,2;123;74,9;130;73,7;127;71,6;123
MODENA;Prime Nove;36;;;36,9;134;36,2;132;35,2;128;37,8;129;36,7;126;35,8;123
MODENA;Provvisorio B.13 par 3;70;;;71,6;126;70,4;124;68,6;119;72,8;126;71,8;123;69,9;119
MODENA;Seconde Nove;36;;;36,8;125;36;123;35;119;37,2;130;37;127;35,8;122
MOLINETTO;18 Buche;71;;;71,9;131;71,4;130;68,8;124;73,5;129;72,5;127;69,7;121
MOLINETTO;Prime Nove;36;;;36,1;134;35,8;132;34,6;129;37,3;131;36,7;128;35,4;125
MOLINETTO;Seconde Nove;35;;;35,7;130;35,6;129;34,3;126;36,2;128;35,9;125;34,4;122
MOLINO PERO;18 Buche;70;;;;;67,8;124;64,4;116;;;68,8;120;;
MOLINO PERO;MOLINO PERO 2016;69;;;;;67,5;123;64;115;;;68;119;68;119
MOLINO PERO;PRIME 9 2016;34;;;;;32,7;119;31,4;113;;;32,9;119;;
MOLINO PERO;Prime Nove;35;;;;;33,5;123;31,9;116;;;33,7;122;;
MOLINO PERO;SECONDE 9 2016;35;;;;;34,8;127;32,7;117;;;35,1;118;;
MOLINO PERO;Seconde Nove;35;;;;;34,3;125;32,7;118;;;35,2;119;;
MONASTERI;18 Buche;71;;;75,5;145;73,5;140;69,6;131;77,2;142;73,2;134;70,1;127
MONASTERI;Prime Nove;35;;;;;36,2;130;34,7;126;;;35,8;126;34,5;123
MONASTERI;Seconde Nove;36;;;;;37,3;150;35,7;146;;;37,4;142;35,8;139
MONCALIERI;18 Buche;64;;;63,7;102;62,7;100;60,2;94;65,1;103;63,6;100;63,6;100
MONCALIERI;9 buche;32;;;31,8;102;31,3;100;30,1;94;32,5;103;31,8;100;;
MONFERRATO;Bianco/Blu 9B;33;;;31,9;113;;;;;32;112;;;;
MONFERRATO;Giallo/Rosso 9B;33;;;;;31,8;111;;;;;31,3;109;;
MONFERRATO;Misto 18 Buche;66;;;63,7;112;63,7;112;62;108;63,4;111;63,4;111;;
MONTE CIMONE;18 Buche;68;;;65,4;112;65;112;63;107;67,8;122;67,2;121;67,2;121
MONTE CIMONE;Prime Nove;34;;;32,7;112;32,5;112;31,5;107;33,9;122;33,6;121;;
MONTEBELLUNA;Campionato;72;;;71,1;123;71,1;123;68,4;117;73,3;127;73,3;127;70,3;121
MONTEBELLUNA;Misto;71;;;70;124;70;124;67,4;118;72;125;72;125;69,2;119
MONTEBELLUNA;Prime Nove;36;;;35,6;123;35,6;123;34,3;120;36,7;127;36,7;127;35,3;124
MONTEBELLUNA;Seconde Nove;36;;;35,6;123;35,6;123;34,3;120;36,7;127;36,7;127;35,3;124
MONTECATINI TERME;18 Buche;72;;;72,1;137;71,2;135;67,4;126;73,4;130;72,2;128;69,8;123
MONTECATINI TERME;Prime Nove;37;;;36,8;136;36,4;135;34,7;127;37,6;134;37,1;133;35,7;127
MONTECATINI TERME;Seconde Nove;35;;;35,3;138;34,8;135;32,8;126;35,8;126;35,1;123;34,1;119
MONTECCHIA;Bianco 9 b.;36;;;;;36,3;129;33,9;118;;;37,3;125;34,8;115
MONTECCHIA;Bianco-Giallo;72;;;72,9;126;71,8;126;68;117;74,2;125;73,2;122;69,8;115
MONTECCHIA;Bianco-Rosso;72;;;73,2;129;72,1;128;67,6;118;75,4;127;74,1;124;69,2;114
MONTECCHIA;Galzignano Course;31;;;;;30,9;108;30,1;104;;;30,6;102;29,7;98
MONTECCHIA;Giallo 9 b.;36;;;;;35,5;123;34,1;117;;;35,9;119;35;115
MONTECCHIA;Giallo-Giallo;72;;;;;71;123;68,2;117;;;71,8;119;70;115
MONTECCHIA;Rosso 9 b.;36;;;;;35,7;126;33,6;116;;;36,8;123;34,4;113
MONTECCHIA;Rosso-Giallo;72;;;72,2;126;71,3;124;67,7;117;73,6;123;72,6;121;69,4;114
MONTELUPO;bianco 2020;68;;;;;67,1;120;64,2;113;;;68;113;65,5;108
MONTELUPO;blu 2020;70;;;;;69,6;126;66,5;119;;;71;117;67,9;110
MONTELUPO;blu 2020 9 buche;35;;;;;34,8;126;33,2;119;;;35,5;117;34;110
MONTELUPO;giallo 2020;68;;;;;67,2;119;64,3;113;;;68,1;112;65,1;106
MONTELUPO;rosso 2020;68;;;;;66,9;119;64;112;;;67,9;112;64,9;106
MONTELUPO;verde 2020;69;;;;;68,1;121;65,2;114;;;69,2;114;66,1;107
MONTEVEGLIO;18 Buche;64;;;;;63,4;114;60,6;108;;;63,6;108;63,6;108
MONTEVEGLIO;Nove Buche;32;;;;;31,7;114;30,3;108;;;31,8;108;;
MONTICELLO;Blu;72;;;72,4;134;71,4;132;69,4;121;74,5;131;73,2;128;70,7;118
MONTICELLO;Blu 2 (Ridotto);72;;;;;69,2;120;;;;;70,4;117;;
MONTICELLO;Prime Nove Blu;36;;;36,5;131;36;129;35;118;37,5;126;36,8;123;35,5;113
MONTICELLO;Prime Nove Rosso;36;;;36,8;135;35,8;134;34,2;126;38;131;36,9;127;35,3;122
MONTICELLO;Rosso;72;;;74;134;72,1;133;70,4;126;75,9;131;73,8;128;72,2;123
MONTICELLO;Rosso1+Blu1;72;;;73,3;133;71,8;132;69,2;119;75,5;129;73,7;125;70,9;118
MONTICELLO;Rosso1+Blu2;72;;;72,7;136;71,3;135;68,7;125;75;133;72,4;130;70,4;123
MONTICELLO;Rosso2+Blu1;72;;;73,8;132;72,3;131;69,2;122;75,5;129;72,8;126;70,8;118
MONTICELLO;Rosso2+Blu2;72;;;73,2;135;71,8;134;68,7;125;75;133;72,4;130;70,4;123
MONTICELLO;Sec. Nove Blu;36;;;35,9;137;35,5;135;34,5;124;37;135;36,4;133;35,1;123
MONTICELLO;Sec.Nove Rosso;36;;;37,3;133;36,3;132;34,2;126;38;131;36,9;128;35,3;122
MULINO CERRIONE;18 BUCHE;72;;;68,9;130;68,2;119;66;114;72;123;71;121;68,9;117
MULINO CERRIONE;NOVE BUCHE;36;;;34,5;130;34,1;119;33;114;36;123;35;121;34,5;117
MUSELLA;18 buche;66;;;;;61,6;107;596;103;;;61,8;109;;
MUSELLA;9 buche;33;;;;;30,8;107;29,8;103;;;30,9;109;;
NAPOLI;18 Buche;70;;;69,1;117;67;112;63,8;105;74,4;122;70,4;113;66,5;105
NAPOLI;9 buche;35;;;34,3;116;33,2;111;31,4;102;37;123;34,9;114;33,5;108
NAZIONALE;Campionato;72;;;73,8;145;71,7;142;69,1;136;75,4;142;73,2;135;70,4;129
NAZIONALE;Carta;72;;;73,4;144;73,4;144;;;75,1;142;75,1;142;;
NAZIONALE;Prime Nove;36;;;37,2;151;35,8;143;34,5;136;37,8;147;36,8;142;35,4;132
NAZIONALE;Seconde Nove;36;;;37,2;143;35,9;142;34,6;135;38,1;142;36,4;129;35;126
OLGIATA;9 Buche GIALLO;36;;;37,5;137;36,4;134;35;128;38,1;135;37,3;133;35,8;128
OLGIATA;9 Buche VERDE;37;;;38;139;37,3;138;35,6;130;39,5;141;38,4;137;36,4;130
OLGIATA;Blu 9 Buche;36;;;;;36,5;129;35;122;;;37,1;125;;
OLGIATA;Blu-Blu;72;;;;;73;129;70;122;;;74,2;125;;
OLGIATA;Championship Course;71;;;77,4;142;;;;;77,6;139;;;;
OLGIATA;Percorso Ovest Par 71;71;;;74,5;134;72,9;132;70;125;76,2;131;74;127;70,8;120
OLGIATA;Percorso Ovest Par 72;72;;;75,2;138;73,2;134;69,8;126;77,2;137;75,1;134;71,5;126
OLGIATA;Percorso Ovest Par 73;73;;;75,5;138;73,7;136;70,3;128;77,6;138;75,7;135;72,1;127
PADOVA;Blu-Giallo;72;;;72,2;130;70,5;128;69;124;74,2;127;72,4;123;71;120
PADOVA;Old Course;72;;;72,5;129;70,7;125;69,3;122;74;127;72,6;125;71,3;122
PADOVA;Prime Nove (Giallo);36;;;35,7;129;34,9;127;34,2;125;36,8;127;35,9;124;35,2;123
PADOVA;Rosso-Blu;72;;;73;129;71,3;126;69,4;122;74,6;125;72,7;121;71,6;119
PADOVA;Rosso-Giallo;72;;;72,2;128;70,6;125;68,9;121;74;126;72,1;122;71;120
PADOVA;Seconde Nove (Rosso);36;;;36,5;126;35,7;123;34,7;121;37,2;124;36,2;120;35,8;119
PALERMO;18 buche;64;;;;;62,4;112;59,1;104;;;62;102;;
PALERMO;9 buche;32;;;;;31,2;112;29,6;104;;;31;102;;
PANORAMA GOLF;18 Buche;66;;;;;64;111;61,5;105;;;64,6;107;64,6;107
PANORAMA GOLF;Prime Nove;33;;;;;32;111;30,8;105;;;32,3;107;;
PANORAMA GOLF;Seconde Nove;33;;;;;32;111;30,8;105;;;32,3;107;;
PARADISO;18 Buche;71;;;71,3;136;69,2;134;67;129;73,8;136;70;128;67,7;123
PARADISO;Prime Nove;35;;;;;34,1;131;;;;;34,1;127;;
PARADISO;provv 2019;71;;;;;68,8;143;66,6;138;;;70;128;67,5;122
PARADISO;Seconde Nove;36;;;;;35,1;137;;;;;35,9;128;;
PARCO FIRENZE;18 Buche;62;;;;;59,4;99;59,3;99;;;60,7;99;60,7;99
PARCO FIRENZE;Prime Nove;31;;;;;29,7;99;29,6;99;;;30,4;99;;
PARCO MEDICI;9 Buche Bianco;35;;;;;34,7;132;33,4;129;;;35,6;123;34,1;120
PARCO MEDICI;9 Buche Blu;37;;;;;36,4;140;34,8;136;;;37,1;138;35,5;135
PARCO MEDICI;9 buche Rosso;35;;;;;34,2;124;32,9;118;;;35,3;122;33,9;116
PARCO MEDICI;Blu/Bianco (Champ.Invertito);72;;;73;136;71,1;136;68,2;129;74,7;137;72,7;130;69,6;123
PARCO MEDICI;Championship Bianco/Blu;72;;;73;136;71,1;136;68,2;129;74,7;137;72,7;130;69,6;123
PARCO MEDICI;Est (Rosso x 2);70;;;;;68,4;124;65,8;118;;;70,6;122;67,7;116
PARCO MEDICI;King Blu/Rosso;72;;;;;70,6;132;67,7;127;;;72,4;130;69,4;125
PARCO MEDICI;Queen Bianco/Rosso;70;;;;;68,9;128;66,3;124;;;70,9;123;68;118
PARCO ROMA;Castello;72;;;73,4;139;72,2;139;69,4;133;76,3;140;73,8;133;70,7;126
PARCO ROMA;Castello 1°Nove;36;;;;;35,5;138;34;127;;;36,5;129;35;120
PARCO ROMA;Castello 2°Nove;36;;;;;36,7;140;35,1;129;;;37,3;137;35,8;128
PARCO ROMA;Misto;72;;;;;72,4;139;69;131;;;73,8;134;70,8;128
PARCO ROMA;Misto 4-->12;72;;;;;72;139;69,2;129;;;73,8;132;70,8;126
PARCO ROMA;Prime Nove Summer;36;;;;;35,5;138;34;127;;;36,5;129;35;120
PARCO ROMA;Summer (17=1);72;;;73,4;139;72,2;139;69,4;133;76,3;140;73,8;133;70,7;126
PASSIRIA MERANO;18 Buche;71;;;72,5;138;71;135;67,7;127;74,7;139;73;130;;
PASSIRIA MERANO;Prime Nove;35;;;;;34,5;130;;;;;35,4;127;;
PASSIRIA MERANO;Seconde Nove;36;;;;;36,5;140;;;;;37,6;133;;
PAVONIERE;18 Buche;72;;;74,7;140;73;139;70;130;77,1;145;74,9;139;71,7;132
PAVONIERE;18 buche short;72;;;74,7;140;72,2;138;70;133;77,1;145;74,8;139;71,7;132
PAVONIERE;2 volte le seconde nove;72;;;;;73,2;142;70,2;134;;;75;140;71,8;133
PAVONIERE;prime 9 short 2 volte;72;;;74,4;136;71,8;133;70;130;77;144;74,6;137;71,6;131
PAVONIERE;Prime Nove;36;;;37,2;136;36,4;135;34,9;126;38,5;144;37,4;138;35,8;131
PAVONIERE;prime nove sh;36;;;37,2;136;35,9;133;35;130;38,5;144;37,3;137;35,8;131
